t,x,y,theta_deg,idx,target_x,target_y,v,w,danger,stop_emergency,ps0_raw,ps1_raw,ps2_raw,ps3_raw,ps4_raw,ps5_raw,ps6_raw,ps7_raw,ps0_kf,ps1_kf,ps2_kf,ps3_kf,ps4_kf,ps5_kf,ps6_kf,ps7_kf
22.912,-0.25013050127334113,0.2974860217184441,61.59823016752267,29,-0.17500000000000004,0.3999999999999999,0.0893296114632808,-0.2734998750325263,0,0,63,70,65,72,66,72,66,67,67.3,66.7,67.1,67.5,67.8,67.1,66.9,66.5
22.92,-0.2497930036403571,0.29810848334186374,61.46882212095247,29,-0.17500000000000004,0.3999999999999999,0.08950163346000112,-0.2704975248039019,0,0,65,63,68,65,65,74,67,66,67.2,66.3,67.2,67.2,67.5,68.1,66.9,66.5
22.928,-0.2494541009797606,0.2987301811072939,61.33941407438196,29,-0.17500000000000004,0.3999999999999999,0.08967413118508404,-0.26748687154900486,0,0,67,61,65,60,68,63,63,64,67.2,65.7,66.9,66.4,67.7,67.6,66.5,66.2
22.936,-0.24911379502038108,0.29935111184329477,61.21000602781147,29,-0.17500000000000004,0.3999999999999999,0.08984711274893316,-0.26446777371458907,0,0,65,68,64,69,67,69,71,68,66.9,66.1,66.7,66.8,67.7,67.8,67.2,66.4
22.944,-0.24877208749820615,0.29997127238234017,61.080597981241255,29,-0.17500000000000004,0.3999999999999999,0.09002058644705446,-0.2614400865167614,0,0,65,68,74,66,64,67,63,66,66.8,66.3,67.7,66.7,67.3,67.8,66.7,66.5
22.952,-0.2484289801563733,0.3005906595608324,60.95118993467076,29,-0.17500000000000004,0.3999999999999999,0.09019456076536157,-0.25840366184838975,0,0,70,65,68,63,69,64,68,66,67.3,66.3,67.8,66.3,67.6,67.3,66.9,66.5
22.96,-0.2480844747451611,0.30120927021911864,60.821781888100254,29,-0.17500000000000004,0.3999999999999999,0.09036904438565828,-0.25535834818341274,0,0,71,65,66,62,62,64,70,64,67.9,66.1,67.6,65.9,66.9,66.9,67.3,66.3
22.968,-0.24773857302197957,0.301827101201508,60.69237384152976,29,-0.17500000000000004,0.3999999999999999,0.09054404619131753,-0.25230399047772356,0,0,66,69,64,75,68,67,68,67,67.7,66.5,67.2,67.1,67.0,67.1,67.4,66.5
22.976,-0.2473604647842586,0.30250067206947023,60.69237384152976,29,-0.17500000000000004,0.3999999999999999,0.09045232313322192,-0.2539048598414899,0,0,68,66,65,67,65,66,62,70,67.8,66.6,67.0,67.1,66.8,67.0,66.8,67.0
22.984,-0.24701316851364116,0.30311772022424843,60.562965794959545,29,-0.17500000000000004,0.3999999999999999,0.09062678979395641,-0.2508598421767132,0,0,66,64,72,62,66,64,73,69,67.6,66.3,67.6,66.5,66.8,66.7,67.7,67.3
22.992,-0.2466320214943186,0.3037895762380353,60.30414970181882,29,-0.17500000000000004,0.3999999999999999,0.09105375810058178,-0.2434078394244359,0,0,68,70,67,66,65,68,68,67,67.7,66.9,67.6,66.6,66.6,67.0,67.8,67.4
23.0,-0.24628055223968676,0.3044042570397109,60.174741655248035,29,-0.17500000000000004,0.3999999999999999,0.09123072953495363,-0.24031910521266986,0,0,65,59,68,67,66,65,66,66,67.5,66.0,67.7,66.7,66.7,66.7,67.6,67.3
