tiempo_s,x_est,y_est,theta_deg,wp_restantes
10.36,-1.030751107800407,-0.597830815886157,103.97224462460461,69
10.368,-1.0308132768186178,-0.5975809539971569,104.18518752294794,69
10.376,-1.0308763740307045,-0.597331324887823,103.54325568835439,69
10.384,-1.0309513572565712,-0.5970183314606914,103.22614202692894,69
10.392,-1.0310253827149443,-0.5967051101314341,103.4697028657374,69
10.4,-1.0310853578292127,-0.5964547125753987,103.42595976719163,69
10.408,-1.0311451417572286,-0.5962042693036763,103.58761098140909,69
10.416,-1.031220367263182,-0.5958913340182849,103.43444265446416,69
10.424,-1.0312801882697489,-0.5956408996005758,103.50974375603838,69
10.432,-1.031355763192872,-0.5953280485168571,103.17064331822844,69
10.44,-1.0314144305275834,-0.5950773413286118,102.82480203097676,69
10.448,-1.0314715835168153,-0.5948262845895629,103.31976529605278,69
10.456,-1.0315453452996624,-0.5945130010614605,102.8984167387743,69
10.464,-1.031617577966776,-0.5941993614412104,103.19113118468069,69
10.472,-1.0316763349457931,-0.593948675247301,102.47954969066095,69
10.48,-1.0317319740913569,-0.5936972786763599,102.71773056637996,69
10.488,-1.031802440039906,-0.5933832374056898,102.7031095945516,69
10.496,-1.0318590596727613,-0.593132059843843,102.44201448051203,69
10.504,-1.0319287917085675,-0.5928178547949159,102.81991073124864,69
10.512,-1.031985923265057,-0.592566793177672,102.23562583167127,69
10.52,-1.0320537443081208,-0.5922521701084181,101.57359706957273,69
10.528,-1.0321054016177542,-0.5919999252417479,101.60303580788857,69
10.536,-1.032183081978188,-0.5916215978041984,101.60893246793502,69
10.544,-1.0322348948422009,-0.5913693848435426,101.51634332730207,69
10.552,-1.0322863000662879,-0.5911170884834092,101.25128099420816,69
10.56,-1.0323616563194595,-0.5907382912770996,101.90694381289158,69
10.568,-1.0324147803067252,-0.5904863512199888,101.5771966304368,69
10.576,-1.0324664534633357,-0.590234109599145,101.62603526388496,69
10.584,-1.032544285684282,-0.5898558133742331,101.36965192308357,69
10.592,-1.032595044799349,-0.5896033862310064,100.9570756499453,69
