tiempo_s,x_est,y_est,theta_deg,wp_restantes,dist_wp,estado,crudo_m,kalman_m,enc_izq_rad,enc_der_rad,long_ejecutada_m
1.2,-1.0508,-1.0647,47.09,153,0.0823,FOLLOW_PATH,0.1419,0.1341,1.9531,4.038,0.0614
1.216,-1.0501,-1.0639,47.24,153,0.0812,FOLLOW_PATH,0.1396,0.1345,2.0033,4.0946,0.0625
1.232,-1.0492,-1.063,47.38,153,0.08,FOLLOW_PATH,0.1363,0.134,2.0598,4.1574,0.0637
1.248,-1.0485,-1.0622,47.52,153,0.0789,FOLLOW_PATH,0.1373,0.1339,2.1101,4.2139,0.0648
1.264,-1.0477,-1.0614,47.8,153,0.0777,FOLLOW_PATH,0.1403,0.1345,2.1603,4.2767,0.066
1.28,-1.0469,-1.0605,47.8,153,0.0766,FOLLOW_PATH,0.1343,0.1336,2.2168,4.3332,0.0671
1.296,-1.0462,-1.0597,47.95,153,0.0755,FOLLOW_PATH,0.1365,0.1334,2.2671,4.3897,0.0682
1.312,-1.0454,-1.0588,48.09,153,0.0743,FOLLOW_PATH,0.1356,0.133,2.3236,4.4525,0.0695
1.328,-1.0447,-1.058,48.23,153,0.0732,FOLLOW_PATH,0.1413,0.1341,2.3738,4.509,0.0705
1.344,-1.0439,-1.0571,48.23,153,0.072,FOLLOW_PATH,0.1365,0.1338,2.4304,4.5656,0.0717
1.36,-1.0431,-1.0563,48.51,153,0.0709,FOLLOW_PATH,0.1369,0.1336,2.4806,4.6284,0.0729
1.376,-1.0423,-1.0554,48.51,153,0.0697,FOLLOW_PATH,0.1377,0.1337,2.5371,4.6849,0.074
1.392,-1.0416,-1.0545,48.8,153,0.0686,FOLLOW_PATH,0.1381,0.1338,2.5874,4.7477,0.0752
1.408,-1.0409,-1.0537,48.94,153,0.0675,FOLLOW_PATH,0.1334,0.1329,2.6376,4.8042,0.0763
1.424,-1.0401,-1.0528,48.94,153,0.0663,FOLLOW_PATH,0.1382,0.1333,2.6941,4.8607,0.0774
1.44,-1.0393,-1.0519,49.22,153,0.0652,FOLLOW_PATH,0.1367,0.1332,2.7444,4.9235,0.0786
1.456,-1.0386,-1.0511,49.22,153,0.064,FOLLOW_PATH,0.1407,0.134,2.8009,4.98,0.0798
1.472,-1.0379,-1.0502,49.36,153,0.0629,FOLLOW_PATH,0.1342,0.1332,2.8511,5.0366,0.0808
1.488,-1.0371,-1.0493,49.51,153,0.0617,FOLLOW_PATH,0.138,0.1334,2.9076,5.0994,0.0821
1.504,-1.0363,-1.0484,49.51,153,0.0605,FOLLOW_PATH,0.1361,0.1332,2.9642,5.1559,0.0832
1.52,-1.0356,-1.0476,49.65,153,0.0594,FOLLOW_PATH,0.1354,0.1329,3.0144,5.2124,0.0843
1.536,-1.0348,-1.0467,49.79,153,0.0582,FOLLOW_PATH,0.1429,0.1343,3.0709,5.2752,0.0855
1.552,-1.0341,-1.0458,49.93,153,0.0571,FOLLOW_PATH,0.1357,0.1338,3.1212,5.3317,0.0866
1.568,-1.0334,-1.0449,49.93,153,0.056,FOLLOW_PATH,0.1361,0.1334,3.1777,5.3882,0.0878
1.584,-1.0327,-1.0441,50.07,153,0.0549,FOLLOW_PATH,0.1377,0.1336,3.2279,5.4448,0.0889
1.6,-1.0319,-1.0432,50.22,153,0.0537,FOLLOW_PATH,0.142,0.1346,3.2844,5.5076,0.0901
1.616,-1.0312,-1.0423,50.36,153,0.0526,FOLLOW_PATH,0.1403,0.1351,3.3347,5.5641,0.0912
1.632,-1.0304,-1.0414,50.36,153,0.0514,FOLLOW_PATH,0.1394,0.1352,3.3912,5.6206,0.0924
1.648,-1.0297,-1.0405,50.64,153,0.0503,FOLLOW_PATH,0.1377,0.1349,3.4414,5.6834,0.0935
1.664,-1.029,-1.0396,50.64,152,0.0491,FOLLOW_PATH,0.1379,0.1347,3.498,5.7399,0.0947
1.68,-1.029,-1.0396,50.64,152,0.0708,FOLLOW_PATH,0.1366,0.1352,3.498,5.7399,0.0947
1.696,-1.0283,-1.0388,51.07,152,0.0698,FOLLOW_PATH,0.1376,0.1349,3.5419,5.8027,0.0958
1.712,-1.0276,-1.0379,51.63,152,0.0687,FOLLOW_PATH,0.1415,0.1355,3.5859,5.8718,0.0969
1.728,-1.0268,-1.0369,52.06,152,0.0675,FOLLOW_PATH,0.137,0.1349,3.6361,5.9409,0.0982
1.744,-1.0261,-1.0361,52.48,152,0.0664,FOLLOW_PATH,0.1386,0.1349,3.6801,6.0037,0.0993
1.76,-1.0254,-1.0351,53.05,152,0.0653,FOLLOW_PATH,0.1381,0.1348,3.724,6.0728,0.1004
1.776,-1.0247,-1.0342,53.34,152,0.0642,FOLLOW_PATH,0.1407,0.1353,3.7743,6.1356,0.1016
1.792,-1.0241,-1.0333,53.9,152,0.063,FOLLOW_PATH,0.1389,0.1353,3.8182,6.2046,0.1027
1.808,-1.0234,-1.0324,54.33,152,0.062,FOLLOW_PATH,0.1363,0.1347,3.8622,6.2674,0.1038
1.824,-1.0227,-1.0314,54.61,152,0.0609,FOLLOW_PATH,0.1419,0.1355,3.9124,6.3302,0.105
1.84,-1.0221,-1.0305,55.18,152,0.0597,FOLLOW_PATH,0.1382,0.1352,3.9564,6.3993,0.1061
1.856,-1.0214,-1.0295,55.46,152,0.0586,FOLLOW_PATH,0.1385,0.1351,4.0066,6.4621,0.1073
1.872,-1.0208,-1.0286,56.03,152,0.0575,FOLLOW_PATH,0.136,0.1344,4.0506,6.5312,0.1085
1.888,-1.0201,-1.0276,56.31,152,0.0563,FOLLOW_PATH,0.1384,0.1345,4.1008,6.594,0.1096
1.904,-1.0195,-1.0267,56.74,152,0.0553,FOLLOW_PATH,0.1401,0.135,4.1448,6.6568,0.1107
1.92,-1.0188,-1.0257,57.17,152,0.0541,FOLLOW_PATH,0.1334,0.1337,4.195,6.7259,0.1119
1.936,-1.0183,-1.0248,57.59,152,0.053,FOLLOW_PATH,0.1345,0.133,4.239,6.7887,0.113
1.952,-1.0176,-1.0238,57.88,152,0.0519,FOLLOW_PATH,0.1312,0.1317,4.2892,6.8515,0.1142
1.968,-1.0171,-1.0229,58.3,152,0.0508,FOLLOW_PATH,0.1368,0.1321,4.3332,6.9143,0.1153
1.984,-1.0164,-1.0218,58.73,151,0.0496,FOLLOW_PATH,0.1355,0.1319,4.3834,6.9834,0.1165
2.0,-1.0164,-1.0218,58.73,151,0.0737,FOLLOW_PATH,0.1396,0.1337,4.3834,6.9834,0.1165
2.016,-1.0158,-1.0208,59.29,151,0.0726,FOLLOW_PATH,0.1384,0.1339,4.4274,7.0524,0.1177
2.032,-1.0153,-1.0199,59.72,151,0.0715,FOLLOW_PATH,0.1347,0.1333,4.4714,7.1152,0.1188
2.048,-1.0147,-1.0189,60.29,151,0.0704,FOLLOW_PATH,0.1371,0.1333,4.5153,7.1843,0.1199
2.064,-1.0142,-1.0179,61.0,151,0.0694,FOLLOW_PATH,0.1377,0.1335,4.553,7.2534,0.121
2.08,-1.0136,-1.0169,61.56,151,0.0683,FOLLOW_PATH,0.1391,0.1339,4.597,7.3225,0.1222
2.096,-1.013,-1.0158,61.99,151,0.0671,FOLLOW_PATH,0.1393,0.1342,4.6472,7.3916,0.1234
2.112,-1.0125,-1.0148,62.56,151,0.066,FOLLOW_PATH,0.1361,0.1338,4.6912,7.4606,0.1246
2.128,-1.012,-1.0138,62.98,151,0.0649,FOLLOW_PATH,0.1349,0.1332,4.7351,7.5234,0.1257
2.144,-1.0115,-1.0128,63.55,151,0.0638,FOLLOW_PATH,0.1366,0.1331,4.7791,7.5925,0.1268
2.16,-1.0109,-1.0118,64.12,151,0.0627,FOLLOW_PATH,0.134,0.1324,4.823,7.6616,0.128
2.176,-1.0104,-1.0107,64.68,151,0.0616,FOLLOW_PATH,0.1409,0.1335,4.867,7.7307,0.1291
2.192,-1.01,-1.0097,65.11,151,0.0605,FOLLOW_PATH,0.136,0.1333,4.911,7.7935,0.1302
2.208,-1.0095,-1.0087,65.68,151,0.0594,FOLLOW_PATH,0.1386,0.1336,4.9549,7.8626,0.1314
2.224,-1.009,-1.0076,65.96,151,0.0583,FOLLOW_PATH,0.1362,0.1333,5.0052,7.9254,0.1325
2.24,-1.0086,-1.0065,66.53,151,0.0572,FOLLOW_PATH,0.1374,0.1334,5.0491,7.9944,0.1337
2.256,-1.0081,-1.0055,67.1,151,0.0561,FOLLOW_PATH,0.1374,0.1334,5.0931,8.0635,0.1349
2.272,-1.0077,-1.0045,67.52,151,0.055,FOLLOW_PATH,0.1415,0.1345,5.137,8.1263,0.1359
2.288,-1.0072,-1.0033,67.95,151,0.0538,FOLLOW_PATH,0.141,0.1351,5.1873,8.1954,0.1372
2.304,-1.0068,-1.0023,68.37,151,0.0528,FOLLOW_PATH,0.1351,0.1342,5.2312,8.2582,0.1383
2.32,-1.0064,-1.0012,68.94,151,0.0516,FOLLOW_PATH,0.1381,0.1342,5.2752,8.3273,0.1394
2.336,-1.006,-1.0002,69.22,151,0.0505,FOLLOW_PATH,0.1425,0.1353,5.3254,8.3901,0.1406
2.352,-1.0056,-0.9991,69.79,150,0.0494,FOLLOW_PATH,0.1348,0.1343,5.3694,8.4592,0.1417
2.368,-1.0056,-0.9991,69.79,150,0.0743,FOLLOW_PATH,0.1389,0.1354,5.3694,8.4592,0.1417
2.384,-1.0052,-0.998,70.22,150,0.0732,FOLLOW_PATH,0.1409,0.1358,5.4134,8.522,0.1428
2.4,-1.0048,-0.997,70.78,150,0.0721,FOLLOW_PATH,0.1419,0.1364,5.4573,8.591,0.144
2.416,-1.0044,-0.9958,71.21,150,0.0709,FOLLOW_PATH,0.1394,0.1362,5.5076,8.6601,0.1452
