t,x,y,theta_deg,idx,target_x,target_y,v,w,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
3.08,-0.9892453317121906,-0.8631801147794902,79.43663166399934,3,-0.975,-0.75,0.05949359642123408,0.1774790617972155,67,67,64,62,70,63,69,71
3.088,-0.9891632766444263,-0.8627370591238958,79.57848279197076,3,-0.975,-0.75,0.06065187647580425,0.17074046159307255,67,61,57,64,66,67,69,77
3.096,-0.9890701262978483,-0.862230594105822,79.57848279197077,3,-0.975,-0.75,0.06051833329853794,0.17151738430536304,70,72,66,69,65,69,69,62
3.104,-0.9889891683839984,-0.8617873366588625,79.72033391994219,3,-0.975,-0.75,0.06167969227600833,0.16476087165387865,76,65,66,68,69,72,71,63
3.112,-0.988897272212127,-0.8612806425744335,79.72033391994222,3,-0.975,-0.75,0.0615497133460116,0.16551705841609943,65,68,64,71,65,66,70,68
3.12,-0.9888174119484174,-0.8608371860530244,79.86218504791364,3,-0.975,-0.75,0.06271423150454963,0.15874216639418282,61,62,71,72,59,65,70,68
3.128,-0.9887161463603259,-0.8602667752102379,80.00403617588508,3,-0.975,-0.75,0.0638520213749651,0.15212277324931955,72,65,66,69,63,67,73,65
3.136,-0.9886267602199903,-0.8597596323117211,80.00403617588505,3,-0.975,-0.75,0.06373032955353082,0.15283074756824536,69,68,71,63,68,67,66,68
3.144,-0.9885490967183242,-0.8593157857970238,80.1458873038565,3,-0.975,-0.75,0.06490218503521313,0.14601316873061188,65,66,68,66,62,68,70,60
3.152,-0.9884609664194327,-0.8588084231535258,80.14588730385648,3,-0.975,-0.75,0.06478434924999674,0.14669870954017816,65,67,62,65,67,65,69,62
3.16,-0.9883625264724255,-0.8582375178849101,80.28773843182789,3,-0.975,-0.75,0.06593050244537411,0.14003066054298174,70,65,63,67,77,73,68,69
3.168,-0.9882756525551667,-0.8577299386062747,80.28773843182793,3,-0.975,-0.75,0.06581635304828592,0.14069475481576688,65,63,71,63,62,66,67,65
3.176,-0.9881887786379079,-0.8572223593276392,80.2877384318279,3,-0.975,-0.75,0.06570111659212591,0.14136517334187437,70,59,64,67,65,62,74,66
3.184,-0.9881019047206491,-0.8567147800490038,80.28773843182789,3,-0.975,-0.75,0.06558477748597745,0.14204200682558032,66,69,68,70,64,63,69,69
3.192,-0.9880162877175105,-0.8562069872464027,80.57144068777077,3,-0.975,-0.75,0.0680267776486414,0.12783502576800587,71,71,57,68,65,70,66,67
3.2,-0.9879319281532756,-0.8556989840323163,80.57144068777075,3,-0.975,-0.75,0.06792054973081249,0.12845303474255673,66,73,63,64,62,71,69,64
3.208,-0.9878377311715782,-0.8551273633735407,80.71329181574218,3,-0.975,-0.75,0.06907995840803226,0.12170786847799775,63,68,64,66,62,70,64,66
3.216,-0.9877435341898809,-0.854555742714765,80.57144068777076,3,-0.975,-0.75,0.06768475810291304,0.12982481482771768,66,66,66,71,68,63,64,68
3.224,-0.9876493372081836,-0.8539841220559894,80.7132918157422,3,-0.975,-0.75,0.06884156807249317,0.1230947672313614,62,66,72,71,70,68,64,59
3.232,-0.9875662355999285,-0.853475911544188,80.71329181574217,3,-0.975,-0.75,0.06873706796080295,0.12370272423726014,69,69,72,64,69,65,70,66
3.24,-0.987473454106311,-0.8529040594275161,80.85514294371359,3,-0.975,-0.75,0.06989849004255283,0.11694584445995937,69,67,69,62,67,63,66,67
3.248,-0.9873916109634012,-0.8523956447330406,80.85514294371363,3,-0.975,-0.75,0.06979815477451641,0.11752957138766162,63,66,62,68,67,71,66,67
3.2560000000000002,-0.9873002455265613,-0.8518235646636001,80.99699407168504,3,-0.975,-0.75,0.07096433723364688,0.11074499685738462,64,62,70,65,67,64,67,68
3.2640000000000002,-0.9872196613506485,-0.8513149489027428,80.99699407168502,3,-0.975,-0.75,0.07086830141122122,0.11130371062444741,68,64,65,68,69,67,71,67
3.2720000000000002,-0.9871297125306041,-0.8507426443870586,81.13884519965643,3,-0.975,-0.75,0.07203939892320567,0.10449054147576664,61,66,67,67,66,71,68,65
3.2800000000000002,-0.9870397637105597,-0.8501703398713744,80.99699407168504,3,-0.975,-0.75,0.07065596461329425,0.11253903604010329,64,61,68,67,71,62,67,73
3.2880000000000003,-0.9869498148905153,-0.8495980353556901,81.13884519965646,3,-0.975,-0.75,0.0718246181209182,0.10574008553243042,58,67,68,69,64,61,66,73
3.2960000000000003,-0.9868612832386014,-0.8490255099016626,81.2806963276279,3,-0.975,-0.75,0.0729994288746194,0.09890531361912314,70,65,64,70,71,67,69,69
3.3040000000000003,-0.9867727515866876,-0.8484529844476351,81.13884519965647,3,-0.975,-0.75,0.07161972986845863,0.10693207706712271,65,71,65,67,69,64,63,69
3.3120000000000003,-0.9866842199347738,-0.8478804589936075,81.2806963276279,3,-0.975,-0.75,0.07279214075865206,0.10011126699375161,62,69,69,61,62,72,69,59
3.3200000000000003,-0.9865971059936393,-0.8473077161104916,81.42254745559933,3,-0.975,-0.75,0.07397086283746328,0.09325373991334907,69,65,73,65,66,70,66,69
3.3280000000000003,-0.9865099920525047,-0.8467349732273757,81.28069632762787,3,-0.975,-0.75,0.07259510036755273,0.1012576015217852,66,66,71,65,71,66,64,70
3.336,-0.9864228781113701,-0.8461622303442597,81.4225474555993,3,-0.975,-0.75,0.07377147307915269,0.09441374250577428,71,72,68,66,68,67,67,66
3.344,-0.9863268726836287,-0.8455257300317349,81.42254745559933,3,-0.975,-0.75,0.0736628958460806,0.09504541924237864,72,66,62,70,64,69,64,61
