t,x,y,theta_deg,idx,target_x,target_y,v,w
8.896,-0.9750477690645245,-0.12034514872862909,89.93361513388497,7,-0.975,0.07499999999999996,0.1048952521127126,0.0031993421559275426
8.904,-0.975046724926531,-0.11944396933351634,89.93361513388497,8,-0.975,0.07499999999999996,0.10489476664285971,0.003214169988793869
8.912,-0.9750458299511079,-0.11867152985199106,89.93361513388497,8,-0.975,0.07499999999999996,0.10489434692995325,0.0032269893900225277
8.92,-0.9750447858131144,-0.11777035045687831,89.93361513388497,8,-0.975,0.07499999999999996,0.10489385301365661,0.0032420752048326618
8.928,-0.9750438908376913,-0.11699791097535303,89.93361513388497,8,-0.975,0.07499999999999996,0.10489342596648796,0.0032551186183527037
8.936,-0.9750428466996978,-0.11609673158024028,89.93361513388497,8,-0.975,0.07499999999999996,0.10489292338138113,0.0032704692069024377
8.944,-0.9750429130169974,-0.1152599215828681,90.07546626185633,8,-0.975,0.07499999999999996,0.10482322141582462,-0.005399394596529938
8.952,-0.9750429793342971,-0.11442311158549592,89.93361513388497,8,-0.975,0.07499999999999996,0.10489323062642347,0.0032610849411036646
8.96,-0.9750430456515967,-0.11358630158812374,90.07546626185633,8,-0.975,0.07499999999999996,0.1048229114501149,-0.005408861960385369
8.968,-0.9750431119688964,-0.11274949159075157,89.93361513388497,8,-0.975,0.07499999999999996,0.1048935433490989,0.0032515333705231964
8.976,-0.975043178286196,-0.11191268159337939,90.07546626185633,8,-0.975,0.07499999999999996,0.10482259593352689,-0.005418498866169741
8.984,-0.9750432446034957,-0.11107587159600721,89.93361513388497,8,-0.975,0.07499999999999996,0.10489386169720955,0.003241809980801036
8.992,-0.9750433109207953,-0.11023906159863503,90.07546626185633,8,-0.975,0.07499999999999996,0.1048222747156054,-0.005428309909275564
9.0,-0.975043377238095,-0.10940225160126285,89.93361513388497,8,-0.975,0.07499999999999996,0.10489418582392347,0.0032319100936858414
9.008000000000001,-0.9750434435553946,-0.10856544160389067,90.07546626185633,8,-0.975,0.07499999999999996,0.10482194764040827,-0.005438299852685957
9.016,-0.9750435098726943,-0.1077286316065185,89.93361513388497,8,-0.975,0.07499999999999996,0.10489451588802007,0.0032218288595361466
9.024000000000001,-0.9750435761899939,-0.10689182160914631,90.07546626185633,8,-0.975,0.07499999999999996,0.10482161454625388,-0.005448473634684037
9.032,-0.9750436425072936,-0.10605501161177414,89.93361513388497,8,-0.975,0.07499999999999996,0.10489485205414971,0.0032115612493933687
9.040000000000001,-0.9750437088245932,-0.10521820161440196,90.07546626185633,8,-0.975,0.07499999999999996,0.10482127526545475,-0.005458836376992849
9.048,-0.9750437751418929,-0.10438139161702978,89.93361513388497,8,-0.975,0.07499999999999996,0.10489519449310737,0.0032011020466211626
9.056000000000001,-0.9750438414591925,-0.1035445816196576,90.07546626185633,8,-0.975,0.07499999999999996,0.10482092962403601,-0.005469393393372268
9.064,-0.9750439077764922,-0.10270777162228542,89.93361513388497,8,-0.975,0.07499999999999996,0.1048955433821222,0.0031904458380637157
9.072000000000001,-0.9750439740937918,-0.10187096162491324,90.07546626185633,8,-0.975,0.07499999999999996,0.10482057744143791,-0.005480150198706291
9.08,-0.9750440404110915,-0.10103415162754106,89.93361513388497,8,-0.975,0.07499999999999996,0.10489589890516321,0.0031795870047074404
9.088000000000001,-0.9750441067283911,-0.10019734163016888,90.07546626185633,8,-0.975,0.07499999999999996,0.10482021853020129,-0.005491112518608676
9.096,-0.9750441730456908,-0.0993605316327967,89.93361513388497,8,-0.975,0.07499999999999996,0.10489626125326276,0.0031685197118002106
9.104000000000001,-0.9750442393629905,-0.09852372163542453,90.07546626185633,8,-0.975,0.07499999999999996,0.10481985269563492,-0.005502286299585046
9.112,-0.9750443056802901,-0.09768691163805235,89.93361513388497,8,-0.975,0.07499999999999996,0.10489663062485896,0.003157237898395504
9.120000000000001,-0.9750443719975898,-0.09685010164068017,90.07546626185633,8,-0.975,0.07499999999999996,0.10481947973546334,-0.005513677719787946
9.128,-0.9750444383148894,-0.09601329164330799,89.93361513388497,8,-0.975,0.07499999999999996,0.10489700722615794,0.003145735266284922
9.136000000000001,-0.9750433941768959,-0.09511211224819524,89.93361513388497,8,-0.975,0.07499999999999996,0.10489646161531822,0.00316240000106327
9.144,-0.9750424992014728,-0.09433967276666996,89.93361513388497,8,-0.975,0.07499999999999996,0.10489598932683934,0.0031768252317709855
9.152000000000001,-0.9750414550634793,-0.09343849337155721,89.93361513388497,8,-0.975,0.07499999999999996,0.10489543284879892,0.0031938218863070134
9.16,-0.9750405600880562,-0.09266605389003194,89.93361513388497,8,-0.975,0.07499999999999996,0.1048949511064615,0.003208535868691631
9.168000000000001,-0.9750395159500627,-0.09176487449491919,89.93361513388497,8,-0.975,0.07499999999999996,0.10489438343328544,0.0032258744591870943
9.176,-0.9750386209746396,-0.09099243501339391,89.93361513388497,8,-0.975,0.07499999999999996,0.10489389195036314,0.003240885950807182
9.184000000000001,-0.975037576836646,-0.09009125561828116,89.93361513388497,8,-0.975,0.07499999999999996,0.10489331274078802,0.00325857690056075
9.192,-0.9750366818612229,-0.08931881613675588,89.93361513388497,8,-0.975,0.07499999999999996,0.1048928112188413,0.0032738950167332526
9.200000000000001,-0.9750356377232294,-0.08841763674164313,89.93361513388497,8,-0.975,0.07499999999999996,0.10489222011759088,0.003291949177039788
9.208,-0.9750357040405291,-0.08758082674427095,90.07546626185633,8,-0.975,0.07499999999999996,0.10482390226041335,-0.00537859938193641
9.216000000000001,-0.9750357703578287,-0.08674401674689877,89.93361513388497,8,-0.975,0.07499999999999996,0.10489257266426866,0.003281181251524989
9.224,-0.9750358366751284,-0.0859072067495266,90.07546626185633,8,-0.975,0.07499999999999996,0.10482354605628176,-0.005389479018021115
9.232,-0.975035902992428,-0.08507039675215441,89.93361513388497,8,-0.975,0.07499999999999996,0.10489293258306696,0.00327018815740221
9.24,-0.9750359693097277,-0.08423358675478224,90.07546626185633,8,-0.975,0.07499999999999996,0.10482318236440429,-0.005400587354289167
9.248,-0.9750360356270273,-0.08339677675741006,89.93361513388497,8,-0.975,0.07499999999999996,0.10489330010766722,0.003258962757278216
9.256,-0.975036101944327,-0.08255996676003788,90.07546626185633,8,-0.975,0.07499999999999996,0.10482281094617388,-0.005411931678578785
9.264,-0.9750361682616266,-0.0817231567626657,89.93361513388497,8,-0.975,0.07499999999999996,0.10489367548173256,0.003247497608886096
9.272,-0.9750362345789263,-0.08088634676529352,90.07546626185633,8,-0.975,0.07499999999999996,0.10482243155273661,-0.0054235195916998435
9.28,-0.975036300896226,-0.08004953676792134,89.93361513388497,8,-0.975,0.07499999999999996,0.10489405895944673,0.003235784948625864
9.288,-0.9750363672135256,-0.07921272677054916,90.07546626185633,8,-0.975,0.07499999999999996,0.10482204392443559,-0.005435359024421715
9.296,-0.9750364335308253,-0.07837591677317698,89.93361513388497,8,-0.975,0.07499999999999996,0.10489445080608786,0.003223816674037261
9.304,-0.9750364998481249,-0.0775391067758048,90.07546626185633,8,-0.975,0.07499999999999996,0.10482164779021841,-0.005447458255568582
9.312,-0.9750365661654246,-0.07670229677843263,89.93361513388497,8,-0.975,0.07499999999999996,0.10489485129864057,0.00321158432510682
9.32,-0.9750366324827242,-0.07586548678106045,90.07546626185633,8,-0.975,0.07499999999999996,0.10482124286700502,-0.005459825931328654
9.328,-0.9750366988000239,-0.07502867678368827,89.93361513388497,8,-0.975,0.07499999999999996,0.10489526072644893,0.0031990790643229294
9.336,-0.9750367651173235,-0.07419186678631609,90.07546626185633,8,-0.975,0.17500000000000004,0.10483216093701843,-0.00512635245935833
9.344,-0.9750368314346232,-0.07335505678894391,89.93361513388497,8,-0.975,0.17500000000000004,0.10488422437104399,0.0035361653579870644
9.352,-0.9750368977519228,-0.07251824679157173,90.07546626185633,8,-0.975,0.17500000000000004,0.1048319852169352,-0.00513171952388336
9.36,-0.9750369640692225,-0.07168143679419955,89.93361513388497,8,-0.975,0.17500000000000004,0.10488440128129857,0.0035307619417468405
9.368,-0.9750370303865221,-0.07084462679682738,90.07546626185633,8,-0.975,0.17500000000000004,0.1048318071043764,-0.005137159662416346
9.376,-0.9750370967038218,-0.0700078167994552,89.93361513388497,8,-0.975,0.17500000000000004,0.10488458060845995,0.0035252847052889003
9.384,-0.9750371630211214,-0.06917100680208302,90.07546626185633,8,-0.975,0.17500000000000004,0.10483162655014579,-0.005142674377570766
9.392,-0.9750372293384211,-0.06833419680471084,89.93361513388497,8,-0.975,0.17500000000000004,0.10488476240239764,0.0035197321254369918
9.4,-0.9750361852004276,-0.06743301740959809,89.93361513388497,8,-0.975,0.17500000000000004,0.10488433403747995,0.0035328157873104615
9.408,-0.9750352902250045,-0.06666057792807281,89.93361513388497,8,-0.975,0.17500000000000004,0.10488396432471697,0.0035441080210614206
9.416,-0.975034246087011,-0.06575939853296006,89.93361513388497,8,-0.975,0.17500000000000004,0.10488352999479442,0.0035573738736415237
9.424,-0.9750333511115878,-0.06498695905143478,89.93361513388497,8,-0.975,0.17500000000000004,0.1048831551157809,0.003568823901535789
9.432,-0.9750323069735943,-0.06408577965632203,89.93361513388497,8,-0.975,0.17500000000000004,0.10488271469538576,0.003582275777015087
9.44,-0.9750314119981712,-0.06331334017479676,89.93361513388497,8,-0.975,0.17500000000000004,0.10488233454107283,0.0035938869297611475
9.448,-0.9750303678601777,-0.062412160779684,89.93361513388497,8,-0.975,0.17500000000000004,0.10488188790119382,0.0036075287685651825
9.456,-0.9750304341774774,-0.06157535078231183,90.07546626185633,8,-0.975,0.17500000000000004,0.1048343258736054,-0.005060228234163965
9.464,-0.975030500494777,-0.060738540784939656,89.93361513388497,8,-0.975,0.17500000000000004,0.10488205643584762,0.00360238117049283
9.472,-0.9750305668120767,-0.059901730787567484,90.07546626185633,8,-0.975,0.17500000000000004,0.10483415614030521,-0.005065412442806672
9.48,-0.9750306331293763,-0.05906492079019531,89.93361513388497,8,-0.975,0.17500000000000004,0.10488222738062732,0.0035971599593148653
9.488,-0.975030699446676,-0.05822811079282314,90.07546626185633,8,-0.975,0.17500000000000004,0.10483398397102904,-0.005070671054101305
9.496,-0.9750307657639756,-0.05739130079545097,89.93361513388497,8,-0.975,0.17500000000000004,0.10488240078760412,0.0035918635446053893
9.504,-0.9750308320812753,-0.056554490798078796,90.07546626185633,8,-0.975,0.17500000000000004,0.10483380931295697,-0.005076005681341589
9.512,-0.9750308983985749,-0.055717680800706625,89.93361513388497,8,-0.975,0.17500000000000004,0.10488257671036012,0.003586490289792521
9.52,-0.9750309647158746,-0.05488087080333445,90.07546626185633,8,-0.975,0.17500000000000004,0.10483363211173084,-0.005081417984801884
9.528,-0.9750310310331742,-0.05404406080596228,89.93361513388497,8,-0.975,0.17500000000000004,0.10488275520404361,0.0035810385104688702
9.536,-0.9750310973504739,-0.05320725080859011,90.07546626185633,8,-0.975,0.17500000000000004,0.10483345231139794,-0.0050869096734609265
9.544,-0.9750311636677735,-0.05237044081121794,89.93361513388497,8,-0.975,0.17500000000000004,0.10488293632542653,0.003575506472632828
9.552,-0.9750312299850732,-0.051533630813845765,90.07546626185633,8,-0.975,0.17500000000000004,0.10483326985435204,-0.005092482506801721
9.56,-0.9750312963023728,-0.050696820816473594,89.93361513388497,8,-0.975,0.17500000000000004,0.10488312013296476,0.0035698923908513702
9.568,-0.9750313626196725,-0.04986001081910142,90.07546626185633,8,-0.975,0.17500000000000004,0.1048330846812718,-0.005098138296689925
9.576,-0.9750314289369721,-0.04902320082172925,89.93361513388497,8,-0.975,0.17500000000000004,0.10488330668686109,0.0035641944263358205
9.584,-0.9750314952542718,-0.04818639082435708,90.07546626185633,8,-0.975,0.17500000000000004,0.10483289673105665,-0.005103878909336945
9.592,-0.9750315615715714,-0.047349580826984906,89.93361513388497,8,-0.975,0.17500000000000004,0.10488349604913075,0.003558410684937563
9.6,-0.9750316278888711,-0.046512770829612735,90.07546626185633,8,-0.975,0.17500000000000004,0.10483270594075941,-0.005109706267355518
9.608,-0.9750316942061708,-0.04567596083224056,89.93361513388497,8,-0.975,0.17500000000000004,0.10488368828367045,0.0035525392150435042
9.616,-0.9750317605234704,-0.04483915083486839,90.07546626185633,8,-0.975,0.17500000000000004,0.10483251224551601,-0.005115622351905436
9.624,-0.97503182684077,-0.04400234083749629,89.93361513388483,8,-0.975,0.17500000000000004,0.10488388345632961,0.0035465780053969276
9.632,-0.9750318931580697,-0.04316553084012404,90.07546626185633,8,-0.975,0.17500000000000004,0.10483231557847209,-0.005121629204937195
9.64,-0.9750319594753694,-0.04232872084275194,89.93361513388483,8,-0.975,0.17500000000000004,0.10488408163498716,0.0035405249827543672
9.648,-0.975032025792669,-0.04149191084537969,90.07546626185633,8,-0.975,0.17500000000000004,0.1048321158707059,-0.005127728931545227
9.656,-0.9750320921099687,-0.04065510084800759,89.93361513388483,8,-0.975,0.17500000000000004,0.10488428288962807,0.0035343780095463684
9.664,-0.9750310479719752,-0.03975392145289476,89.93361513388498,8,-0.975,0.17500000000000004,0.10488379730163076,0.0035492094509288474
9.672,-0.975030152996552,-0.03898148197136955,89.93361513388483,8,-0.975,0.17500000000000004,0.10488337782796742,0.003562021544892713
9.68,-0.9750291088585585,-0.038080302576256726,89.93361513388498,8,-0.975,0.17500000000000004,0.10488288459819196,0.003577086391105988
9.688,-0.9750282138831354,-0.03730786309473152,89.93361513388483,8,-0.975,0.17500000000000004,0.10488245849713673,0.0035901009072361045
9.696,-0.9750271697451419,-0.03640668369961869,89.93361513388498,8,-0.975,0.17500000000000004,0.10488195744376334,0.003605404711650495
9.704,-0.9750262747697188,-0.03563424421809348,89.93361513388483,8,-0.975,0.17500000000000004,0.10488152455700403,0.003618626485317411
9.712,-0.9750252306317253,-0.03473306482298066,89.93361513388498,8,-0.975,0.17500000000000004,0.10488101549239877,0.003634174978884963
9.72,-0.975025296949025,-0.033896254825608485,90.07546626185635,8,-0.975,0.17500000000000004,0.10483519065108704,-0.005033815109048545
9.728,-0.9750253632663246,-0.03305944482823631,89.93361513388498,8,-0.975,0.17500000000000004,0.10488119943037222,0.0036285569131867534
9.736,-0.9750254295836243,-0.03222263483086414,90.07546626185635,8,-0.975,0.17500000000000004,0.10483500523052616,-0.005039478457802726
9.744,-0.9750254959009239,-0.03138582483349197,89.93361513388498,8,-0.975,0.17500000000000004,0.10488138635151817,0.0036228477316692107
9.752,-0.9750255622182236,-0.030549014836119794,90.07546626185635,8,-0.975,0.17500000000000004,0.10483481679050492,-0.005045234030725987
